x-coordinate,y-coordinate,Similarity_score
isCredentialPhishing,emailSenderAge,1.0
isCredentialPhishing,isUrgent,1.0
isCredentialPhishing,MboxParser-reply-to,0.9876017388541756
isCredentialPhishing,Message-To,0.9876017388541756
isCredentialPhishing,misspellings,1.0
isCredentialPhishing,numbersOfUrls,1.0
isCredentialPhishing,Message:Raw-Header:Reply-To,0.9876017388541756
isCredentialPhishing,Author,0.9876017388541756
isCredentialPhishing,isSocialEngineering,1.0
isCredentialPhishing,urls,0.9876017388541756
isCredentialPhishing,createdAt,1.0
isCredentialPhishing,X-TIKA:embedded_resource_path,1.0
isCredentialPhishing,X-TIKA:parse_time_millis,1.0
isCredentialPhishing,fraudScore,1.0
isCredentialPhishing,anyUrlsInContent,1.0
isCredentialPhishing,sentiment,1.0
isCredentialPhishing,Content-Type,1.0
isCredentialPhishing,randomCaps,1.0
isCredentialPhishing,X-TIKA:content_handler,1.0
isCredentialPhishing,locations,0.9876017388541756
isCredentialPhishing,isReconnaissance,1.0
isCredentialPhishing,Message-From,1.0
isCredentialPhishing,isAttackerSuperior,1.0
isCredentialPhishing,isReceiverFromEduOrUniversity,0.9876017388541756
isCredentialPhishing,X-TIKA:embedded_depth,1.0
isCredentialPhishing,attackerOffer,1.0
isCredentialPhishing,areUrlsMalicious,1.0
isCredentialPhishing,X-TIKA:content,0.9999372391541138
isCredentialPhishing,X-Parsed-By,0.9876017388541756
isCredentialPhishing,relationships,0.9876017388541756
isCredentialPhishing,gdpPerCapitaPerCountry,1.0
isCredentialPhishing,isMalware,1.0
emailSenderAge,isUrgent,1.0
emailSenderAge,MboxParser-reply-to,0.9876017388541756
emailSenderAge,Message-To,0.9876017388541756
emailSenderAge,misspellings,1.0
emailSenderAge,numbersOfUrls,1.0
emailSenderAge,Message:Raw-Header:Reply-To,0.9876017388541756
emailSenderAge,Author,0.9876017388541756
emailSenderAge,isSocialEngineering,1.0
emailSenderAge,urls,0.9876017388541756
emailSenderAge,createdAt,1.0
emailSenderAge,X-TIKA:embedded_resource_path,1.0
emailSenderAge,X-TIKA:parse_time_millis,1.0
emailSenderAge,fraudScore,1.0
emailSenderAge,anyUrlsInContent,1.0
emailSenderAge,sentiment,1.0
emailSenderAge,Content-Type,1.0
emailSenderAge,randomCaps,1.0
emailSenderAge,X-TIKA:content_handler,1.0
emailSenderAge,locations,0.9876017388541756
emailSenderAge,isReconnaissance,1.0
emailSenderAge,Message-From,1.0
emailSenderAge,isAttackerSuperior,1.0
emailSenderAge,isReceiverFromEduOrUniversity,0.9876017388541756
emailSenderAge,X-TIKA:embedded_depth,1.0
emailSenderAge,attackerOffer,1.0
emailSenderAge,areUrlsMalicious,1.0
emailSenderAge,X-TIKA:content,0.9999372391541138
