x-coordinate,y-coordinate,Similarity_score
isCredentialPhishing,emailSenderAge,0.75
isCredentialPhishing,isUrgent,0.5555555555555556
isCredentialPhishing,MboxParser-reply-to,0.3636363636363637
isCredentialPhishing,Message-To,0.3636363636363637
isCredentialPhishing,misspellings,0.5555555555555556
isCredentialPhishing,numbersOfUrls,0.5555555555555556
isCredentialPhishing,Message:Raw-Header:Reply-To,0.3636363636363637
isCredentialPhishing,Author,0.3636363636363637
isCredentialPhishing,isSocialEngineering,0.5555555555555556
isCredentialPhishing,urls,0.3636363636363637
isCredentialPhishing,createdAt,0.75
isCredentialPhishing,X-TIKA:embedded_resource_path,0.5555555555555556
isCredentialPhishing,X-TIKA:parse_time_millis,0.75
isCredentialPhishing,fraudScore,0.75
isCredentialPhishing,anyUrlsInContent,0.75
isCredentialPhishing,sentiment,0.75
isCredentialPhishing,Content-Type,0.75
isCredentialPhishing,randomCaps,0.5555555555555556
isCredentialPhishing,X-TIKA:content_handler,0.75
isCredentialPhishing,locations,0.3636363636363637
isCredentialPhishing,isReconnaissance,0.75
isCredentialPhishing,Message-From,0.5555555555555556
isCredentialPhishing,isAttackerSuperior,0.5555555555555556
isCredentialPhishing,isReceiverFromEduOrUniversity,0.3636363636363637
isCredentialPhishing,X-TIKA:embedded_depth,0.75
isCredentialPhishing,attackerOffer,0.5555555555555556
isCredentialPhishing,areUrlsMalicious,0.5555555555555556
isCredentialPhishing,X-TIKA:content,0.5555555555555556
isCredentialPhishing,X-Parsed-By,0.3636363636363637
isCredentialPhishing,relationships,0.3636363636363637
isCredentialPhishing,gdpPerCapitaPerCountry,0.5555555555555556
isCredentialPhishing,isMalware,0.75
emailSenderAge,isUrgent,0.5555555555555556
emailSenderAge,MboxParser-reply-to,0.3636363636363637
emailSenderAge,Message-To,0.3636363636363637
emailSenderAge,misspellings,0.75
emailSenderAge,numbersOfUrls,0.5555555555555556
emailSenderAge,Message:Raw-Header:Reply-To,0.3636363636363637
emailSenderAge,Author,0.3636363636363637
emailSenderAge,isSocialEngineering,0.75
emailSenderAge,urls,0.3636363636363637
emailSenderAge,createdAt,0.75
emailSenderAge,X-TIKA:embedded_resource_path,0.5555555555555556
emailSenderAge,X-TIKA:parse_time_millis,0.5555555555555556
emailSenderAge,fraudScore,0.75
emailSenderAge,anyUrlsInContent,0.75
emailSenderAge,sentiment,0.5555555555555556
emailSenderAge,Content-Type,0.75
emailSenderAge,randomCaps,0.5555555555555556
emailSenderAge,X-TIKA:content_handler,0.5555555555555556
emailSenderAge,locations,0.3636363636363637
emailSenderAge,isReconnaissance,0.5555555555555556
emailSenderAge,Message-From,0.5555555555555556
emailSenderAge,isAttackerSuperior,0.75
emailSenderAge,isReceiverFromEduOrUniversity,0.3636363636363637
emailSenderAge,X-TIKA:embedded_depth,0.5555555555555556
emailSenderAge,attackerOffer,0.75
emailSenderAge,areUrlsMalicious,0.75
emailSenderAge,X-TIKA:content,0.5555555555555556
emailSenderAge,X-Parsed-By,0.3636363636363637
emailSenderAge,relationships,0.3636363636363637
emailSenderAge,gdpPerCapitaPerCountry,0.5555555555555556
emailSenderAge,isMalware,0.5555555555555556
isUrgent,MboxParser-reply-to,0.3636363636363637
isUrgent,Message-To,0.3636363636363637
isUrgent,misspellings,0.5555555555555556
isUrgent,numbersOfUrls,0.75
isUrgent,Message:Raw-Header:Reply-To,0.3636363636363637
isUrgent,Author,0.3636363636363637
isUrgent,isSocialEngineering,0.75
isUrgent,urls,0.3636363636363637
isUrgent,createdAt,0.75
isUrgent,X-TIKA:embedded_resource_path,0.75
isUrgent,X-TIKA:parse_time_millis,0.75
isUrgent,fraudScore,0.75
isUrgent,anyUrlsInContent,0.5555555555555556
isUrgent,sentiment,0.5555555555555556
isUrgent,Content-Type,0.75
isUrgent,randomCaps,0.75
isUrgent,X-TIKA:content_handler,0.75
isUrgent,locations,0.3636363636363637
isUrgent,isReconnaissance,0.5555555555555556
isUrgent,Message-From,0.75
isUrgent,isAttackerSuperior,0.5555555555555556
isUrgent,isReceiverFromEduOrUniversity,0.3636363636363637
isUrgent,X-TIKA:embedded_depth,0.75
isUrgent,attackerOffer,0.75
isUrgent,areUrlsMalicious,0.5555555555555556
isUrgent,X-TIKA:content,0.5555555555555556
isUrgent,X-Parsed-By,0.3636363636363637
isUrgent,relationships,0.3636363636363637
isUrgent,gdpPerCapitaPerCountry,0.5555555555555556
isUrgent,isMalware,0.5555555555555556
MboxParser-reply-to,Message-To,0.7777777777777778
MboxParser-reply-to,misspellings,0.3636363636363637
MboxParser-reply-to,numbersOfUrls,0.3636363636363637
MboxParser-reply-to,Message:Raw-Header:Reply-To,0.7777777777777778
MboxParser-reply-to,Author,0.6
MboxParser-reply-to,isSocialEngineering,0.3636363636363637
MboxParser-reply-to,urls,0.6
MboxParser-reply-to,createdAt,0.3636363636363637
MboxParser-reply-to,X-TIKA:embedded_resource_path,0.3636363636363637
MboxParser-reply-to,X-TIKA:parse_time_millis,0.3636363636363637
MboxParser-reply-to,fraudScore,0.3636363636363637
MboxParser-reply-to,anyUrlsInContent,0.3636363636363637
MboxParser-reply-to,sentiment,0.3636363636363637
MboxParser-reply-to,Content-Type,0.3636363636363637
MboxParser-reply-to,randomCaps,0.3636363636363637
MboxParser-reply-to,X-TIKA:content_handler,0.3636363636363637
MboxParser-reply-to,locations,0.6
MboxParser-reply-to,isReconnaissance,0.3636363636363637
MboxParser-reply-to,Message-From,0.3636363636363637
MboxParser-reply-to,isAttackerSuperior,0.3636363636363637
MboxParser-reply-to,isReceiverFromEduOrUniversity,0.6
MboxParser-reply-to,X-TIKA:embedded_depth,0.3636363636363637
MboxParser-reply-to,attackerOffer,0.3636363636363637
MboxParser-reply-to,areUrlsMalicious,0.3636363636363637
MboxParser-reply-to,X-TIKA:content,0.3636363636363637
MboxParser-reply-to,X-Parsed-By,0.6
MboxParser-reply-to,relationships,0.6
MboxParser-reply-to,gdpPerCapitaPerCountry,0.3636363636363637
MboxParser-reply-to,isMalware,0.3636363636363637
Message-To,misspellings,0.3636363636363637
Message-To,numbersOfUrls,0.3636363636363637
Message-To,Message:Raw-Header:Reply-To,0.6
Message-To,Author,0.6
Message-To,isSocialEngineering,0.3636363636363637
Message-To,urls,0.7777777777777778
Message-To,createdAt,0.3636363636363637
Message-To,X-TIKA:embedded_resource_path,0.3636363636363637
Message-To,X-TIKA:parse_time_millis,0.3636363636363637
Message-To,fraudScore,0.3636363636363637
Message-To,anyUrlsInContent,0.3636363636363637
Message-To,sentiment,0.3636363636363637
Message-To,Content-Type,0.3636363636363637
Message-To,randomCaps,0.3636363636363637
Message-To,X-TIKA:content_handler,0.3636363636363637
Message-To,locations,0.6
Message-To,isReconnaissance,0.3636363636363637
Message-To,Message-From,0.3636363636363637
Message-To,isAttackerSuperior,0.3636363636363637
Message-To,isReceiverFromEduOrUniversity,0.6
Message-To,X-TIKA:embedded_depth,0.3636363636363637
Message-To,attackerOffer,0.3636363636363637
Message-To,areUrlsMalicious,0.3636363636363637
Message-To,X-TIKA:content,0.3636363636363637
Message-To,X-Parsed-By,0.7777777777777778
Message-To,relationships,0.6
Message-To,gdpPerCapitaPerCountry,0.3636363636363637
Message-To,isMalware,0.3636363636363637
misspellings,numbersOfUrls,0.75
misspellings,Message:Raw-Header:Reply-To,0.3636363636363637
misspellings,Author,0.3636363636363637
misspellings,isSocialEngineering,0.75
misspellings,urls,0.3636363636363637
misspellings,createdAt,0.5555555555555556
misspellings,X-TIKA:embedded_resource_path,0.75
misspellings,X-TIKA:parse_time_millis,0.5555555555555556
misspellings,fraudScore,0.75
misspellings,anyUrlsInContent,0.5555555555555556
misspellings,sentiment,0.75
misspellings,Content-Type,0.75
misspellings,randomCaps,0.75
misspellings,X-TIKA:content_handler,0.5555555555555556
misspellings,locations,0.3636363636363637
misspellings,isReconnaissance,0.75
misspellings,Message-From,0.75
misspellings,isAttackerSuperior,0.75
misspellings,isReceiverFromEduOrUniversity,0.3636363636363637
misspellings,X-TIKA:embedded_depth,0.75
misspellings,attackerOffer,0.5555555555555556
misspellings,areUrlsMalicious,0.75
misspellings,X-TIKA:content,0.5555555555555556
misspellings,X-Parsed-By,0.3636363636363637
misspellings,relationships,0.3636363636363637
misspellings,gdpPerCapitaPerCountry,0.5555555555555556
misspellings,isMalware,0.75
numbersOfUrls,Message:Raw-Header:Reply-To,0.3636363636363637
numbersOfUrls,Author,0.3636363636363637
numbersOfUrls,isSocialEngineering,0.75
numbersOfUrls,urls,0.3636363636363637
numbersOfUrls,createdAt,0.5555555555555556
numbersOfUrls,X-TIKA:embedded_resource_path,0.5555555555555556
numbersOfUrls,X-TIKA:parse_time_millis,0.5555555555555556
numbersOfUrls,fraudScore,0.75
numbersOfUrls,anyUrlsInContent,0.5555555555555556
numbersOfUrls,sentiment,0.75
numbersOfUrls,Content-Type,0.5555555555555556
numbersOfUrls,randomCaps,0.75
numbersOfUrls,X-TIKA:content_handler,0.75
numbersOfUrls,locations,0.3636363636363637
numbersOfUrls,isReconnaissance,0.75
numbersOfUrls,Message-From,0.75
numbersOfUrls,isAttackerSuperior,0.5555555555555556
numbersOfUrls,isReceiverFromEduOrUniversity,0.3636363636363637
numbersOfUrls,X-TIKA:embedded_depth,0.5555555555555556
numbersOfUrls,attackerOffer,0.75
numbersOfUrls,areUrlsMalicious,0.5555555555555556
numbersOfUrls,X-TIKA:content,0.5555555555555556
numbersOfUrls,X-Parsed-By,0.3636363636363637
numbersOfUrls,relationships,0.3636363636363637
numbersOfUrls,gdpPerCapitaPerCountry,0.75
numbersOfUrls,isMalware,0.5555555555555556
Message:Raw-Header:Reply-To,Author,0.6
Message:Raw-Header:Reply-To,isSocialEngineering,0.3636363636363637
Message:Raw-Header:Reply-To,urls,0.7777777777777778
Message:Raw-Header:Reply-To,createdAt,0.3636363636363637
Message:Raw-Header:Reply-To,X-TIKA:embedded_resource_path,0.3636363636363637
Message:Raw-Header:Reply-To,X-TIKA:parse_time_millis,0.3636363636363637
Message:Raw-Header:Reply-To,fraudScore,0.3636363636363637
Message:Raw-Header:Reply-To,anyUrlsInContent,0.3636363636363637
Message:Raw-Header:Reply-To,sentiment,0.3636363636363637
Message:Raw-Header:Reply-To,Content-Type,0.3636363636363637
Message:Raw-Header:Reply-To,randomCaps,0.3636363636363637
Message:Raw-Header:Reply-To,X-TIKA:content_handler,0.3636363636363637
Message:Raw-Header:Reply-To,locations,0.6
Message:Raw-Header:Reply-To,isReconnaissance,0.3636363636363637
Message:Raw-Header:Reply-To,Message-From,0.3636363636363637
Message:Raw-Header:Reply-To,isAttackerSuperior,0.3636363636363637
Message:Raw-Header:Reply-To,isReceiverFromEduOrUniversity,0.7777777777777778
Message:Raw-Header:Reply-To,X-TIKA:embedded_depth,0.3636363636363637
Message:Raw-Header:Reply-To,attackerOffer,0.3636363636363637
Message:Raw-Header:Reply-To,areUrlsMalicious,0.3636363636363637
Message:Raw-Header:Reply-To,X-TIKA:content,0.3636363636363637
Message:Raw-Header:Reply-To,X-Parsed-By,0.6
Message:Raw-Header:Reply-To,relationships,0.6
Message:Raw-Header:Reply-To,gdpPerCapitaPerCountry,0.3636363636363637
Message:Raw-Header:Reply-To,isMalware,0.3636363636363637
Author,isSocialEngineering,0.3636363636363637
Author,urls,0.6
Author,createdAt,0.3636363636363637
Author,X-TIKA:embedded_resource_path,0.3636363636363637
Author,X-TIKA:parse_time_millis,0.3636363636363637
Author,fraudScore,0.3636363636363637
Author,anyUrlsInContent,0.3636363636363637
Author,sentiment,0.3636363636363637
Author,Content-Type,0.3636363636363637
Author,randomCaps,0.3636363636363637
Author,X-TIKA:content_handler,0.3636363636363637
Author,locations,0.6
Author,isReconnaissance,0.3636363636363637
Author,Message-From,0.3636363636363637
Author,isAttackerSuperior,0.3636363636363637
Author,isReceiverFromEduOrUniversity,0.6
Author,X-TIKA:embedded_depth,0.3636363636363637
Author,attackerOffer,0.3636363636363637
Author,areUrlsMalicious,0.3636363636363637
Author,X-TIKA:content,0.3636363636363637
Author,X-Parsed-By,0.6
Author,relationships,0.6
Author,gdpPerCapitaPerCountry,0.3636363636363637
Author,isMalware,0.3636363636363637
isSocialEngineering,urls,0.3636363636363637
isSocialEngineering,createdAt,0.5555555555555556
isSocialEngineering,X-TIKA:embedded_resource_path,0.75
isSocialEngineering,X-TIKA:parse_time_millis,0.75
isSocialEngineering,fraudScore,0.5555555555555556
isSocialEngineering,anyUrlsInContent,0.75
isSocialEngineering,sentiment,0.75
isSocialEngineering,Content-Type,0.75
isSocialEngineering,randomCaps,0.5555555555555556
isSocialEngineering,X-TIKA:content_handler,0.75
isSocialEngineering,locations,0.3636363636363637
isSocialEngineering,isReconnaissance,0.5555555555555556
isSocialEngineering,Message-From,0.75
isSocialEngineering,isAttackerSuperior,0.75
isSocialEngineering,isReceiverFromEduOrUniversity,0.3636363636363637
isSocialEngineering,X-TIKA:embedded_depth,0.5555555555555556
isSocialEngineering,attackerOffer,0.75
isSocialEngineering,areUrlsMalicious,0.75
isSocialEngineering,X-TIKA:content,0.5555555555555556
isSocialEngineering,X-Parsed-By,0.3636363636363637
isSocialEngineering,relationships,0.3636363636363637
isSocialEngineering,gdpPerCapitaPerCountry,0.5555555555555556
isSocialEngineering,isMalware,0.5555555555555556
urls,createdAt,0.3636363636363637
urls,X-TIKA:embedded_resource_path,0.3636363636363637
urls,X-TIKA:parse_time_millis,0.3636363636363637
urls,fraudScore,0.3636363636363637
urls,anyUrlsInContent,0.3636363636363637
urls,sentiment,0.3636363636363637
urls,Content-Type,0.3636363636363637
urls,randomCaps,0.3636363636363637
urls,X-TIKA:content_handler,0.3636363636363637
urls,locations,0.6
urls,isReconnaissance,0.3636363636363637
urls,Message-From,0.3636363636363637
urls,isAttackerSuperior,0.3636363636363637
urls,isReceiverFromEduOrUniversity,0.6
urls,X-TIKA:embedded_depth,0.3636363636363637
urls,attackerOffer,0.3636363636363637
urls,areUrlsMalicious,0.3636363636363637
urls,X-TIKA:content,0.3636363636363637
urls,X-Parsed-By,0.6
urls,relationships,0.6
urls,gdpPerCapitaPerCountry,0.3636363636363637
urls,isMalware,0.3636363636363637
createdAt,X-TIKA:embedded_resource_path,0.75
createdAt,X-TIKA:parse_time_millis,0.75
createdAt,fraudScore,0.5555555555555556
createdAt,anyUrlsInContent,0.75
createdAt,sentiment,0.75
createdAt,Content-Type,0.5555555555555556
createdAt,randomCaps,0.5555555555555556
createdAt,X-TIKA:content_handler,0.5555555555555556
createdAt,locations,0.3636363636363637
createdAt,isReconnaissance,0.75
createdAt,Message-From,0.5555555555555556
createdAt,isAttackerSuperior,0.5555555555555556
createdAt,isReceiverFromEduOrUniversity,0.3636363636363637
createdAt,X-TIKA:embedded_depth,0.75
createdAt,attackerOffer,0.75
createdAt,areUrlsMalicious,0.75
createdAt,X-TIKA:content,0.5555555555555556
createdAt,X-Parsed-By,0.3636363636363637
createdAt,relationships,0.3636363636363637
createdAt,gdpPerCapitaPerCountry,0.75
createdAt,isMalware,0.75
X-TIKA:embedded_resource_path,X-TIKA:parse_time_millis,0.75
X-TIKA:embedded_resource_path,fraudScore,0.5555555555555556
X-TIKA:embedded_resource_path,anyUrlsInContent,0.5555555555555556
X-TIKA:embedded_resource_path,sentiment,0.5555555555555556
X-TIKA:embedded_resource_path,Content-Type,0.75
X-TIKA:embedded_resource_path,randomCaps,0.5555555555555556
X-TIKA:embedded_resource_path,X-TIKA:content_handler,0.75
X-TIKA:embedded_resource_path,locations,0.3636363636363637
X-TIKA:embedded_resource_path,isReconnaissance,0.75
